offer-id;product-sku;min-shipping-price;min-shipping-price-additional;min-shipping-zone;min-shipping-type;price;total-price;price-additional-info;quantity;description;state-code;shop-id;shop-name;professional;premium;logistic-class;active;favorite-rank;channels;deleted;origin-price;discount-start-date;discount-end-date;available-start-date;available-end-date;discount-price;currency-iso-code;discount-ranges;leadtime-to-ship;allow-quote-requests;price-ranges;ecotax;gift-wrap;min-quantity-ordered
"2000";"MKP100000000094331";"0.00";"0.00";"DOM1";"CLC";"2.00";"2.00";"";"10";"This is description of the offer 2300: 
 The Emerge Linen Tank has a scoop neckline and is available in a range of colours. This is one of our best-selling styles, an easy layering piece and a beautiful lightweight fabric.

100% linen.";"4";"3";"* Super Shop";"false";"false";"M";"true";"";"US";"false";"10.00";"";"";"";"";"2.00";"EUR";"1|2.00";"5";"true";"1|10.00";"";"";""
"2002";"MKP100000000046634";"0.00";"0.00";"DOM1";"CLC";"11.00";"11.00";"";"10";"This is description of the offer 1100: 
 Join Diego, his sister Alicia and their friends all over the world as they race to the rescue of animals in trouble - from Latin America to India to Egypt to under the sea!";"11";"3";"* Super Shop";"false";"false";"M";"true";"";"US";"false";"11.00";"2014-12-31T23:00:00Z";"2015-01-30T23:00:00Z";"";"";"5.00";"EUR";"1|5.00";"";"false";"1|11.00";"";"";""
"2003";"MKP100000000089708";"0.00";"0.00";"DOM1";"CLC";"119.00";"119.00";"";"10";"This is description of the offer 1850: 
 The Capture Leather Jacket has a mandarin collar with zip fastening and gathering detail at the shoulders. This classic fit jacket is fully lined and has pleated panels at the front with top stitching detail. This style has long sleeves and is available in Berry.

100% leather. Lining 100% polyester.";"11";"3";"* Super Shop";"false";"false";"M";"true";"";"US";"false";"119.00";"";"";"";"";"";"EUR";"";"10";"true";"1|119.00";"";"";""
"2004";"MKP100000000046965";"0.00";"0.00";"DOM1";"CLC";"12.00";"12.00";"";"56";"This is description of the offer 1200: 
 When the planet is threatened by Super Villains, time traveling conquerors, alien invaders, mythical monsters or mad robots bent on the total destruction of humanity, when the forces of evil are so overwhelming that no single hero has the power to save the world";"4";"3";"* Super Shop";"false";"false";"M";"true";"";"US";"false";"12.00";"";"";"";"";"";"EUR";"";"";"true";"1|12.00";"";"";""
"2005";"MKP100000000089609";"0.00";"0.00";"DOM1";"CLC";"12.00";"12.00";"";"10";"This is description of the offer 1800: 
 The Capture Lace Top has a round neckline and is lined through the body. This classic fit design has unlined three quarter sleeves, perfect for in between weather.Nylon/elastane. Lining polyester/elastane.";"4";"3";"* Super Shop";"false";"false";"M";"true";"";"US";"false";"12.00";"";"";"";"";"";"EUR";"";"";"false";"1|12.00";"";"";""
"2006";"MKP100000000089909";"0.00";"0.00";"DOM1";"CLC";"12.00";"12.00";"";"10";"This is description of the offer 1900: 
 The Capture Lace Top has a round neckline and is lined through the body. This classic fit design has unlined three quarter sleeves, perfect for in between weather.Nylon/elastane. Lining polyester/elastane.";"4";"3";"* Super Shop";"false";"false";"M";"true";"";"US";"false";"12.00";"";"";"";"";"";"EUR";"";"";"false";"1|12.00";"";"";""
"2007";"MKP100000000149788";"0.00";"0.00";"DOM1";"CLC";"12.00";"12.00";"";"7";"This is description of the offer 3450: 
 The Capture Stretch Twill Secret Support Skirt  has a waistband with elastic at the back and belt loops. This EziFit style has secret support tummy panels to slim and smooth in all the right places, and a fly front with button fastening. This style has side front pockets and back cargo pockets with button closure add extra detail to this skirt. Available in a range of colours - you'll find the perfect shade for you.

Cotton/elastane. Denim cotton/polyester/elastane. Length 60cm.";"4";"3";"* Super Shop";"false";"false";"M";"true";"";"US";"false";"12.00";"";"";"";"";"";"EUR";"";"";"false";"1|12.00";"";"";""
"2008";"MKP100000000149838";"0.00";"0.00";"DOM1";"CLC";"12.00";"12.00";"";"10";"This is description of the offer 3500: 
 The Capture Stretch Twill Secret Support Skirt  has a waistband with elastic at the back and belt loops. This EziFit style has secret support tummy panels to slim and smooth in all the right places, and a fly front with button fastening. This style has side front pockets and back cargo pockets with button closure add extra detail to this skirt. Available in a range of colours - you'll find the perfect shade for you.

Cotton/elastane. Denim cotton/polyester/elastane. Length 60cm.";"4";"3";"* Super Shop";"false";"false";"M";"true";"";"US";"false";"12.00";"";"";"";"";"";"EUR";"";"";"false";"1|12.00";"";"";""
"2009";"MKP100000000166358";"0.00";"0.00";"DOM1";"CLC";"12.00";"12.00";"";"10";"This is description of the offer 4650: 
 Viscose/elastane. Elasticated waistband. EziFit.";"4";"3";"* Super Shop";"false";"false";"M";"true";"";"US";"false";"12.00";"";"";"";"";"";"EUR";"";"15";"false";"1|12.00";"";"";""
"2010";"MKP100000000194724";"0.00";"0.00";"DOM1";"CLC";"12.00";"12.00";"";"10";"This is description of the offer 5250: 
 Polyamide/polyester/elastane. Beautiful embroidered lace with full cup styling.";"4";"3";"* Super Shop";"false";"false";"M";"true";"";"US";"false";"12.00";"";"";"";"";"";"EUR";"";"";"false";"1|12.00";"";"";""
"2012";"MKP100000000196169";"0.00";"0.00";"DOM1";"CLC";"12.00";"12.00";"";"8";"This is description of the offer 5550: 
 Polyamide/elastane. Underwired cup. Lace embroidered.";"4";"3";"* Super Shop";"false";"false";"M";"true";"";"US";"false";"12.00";"";"";"";"";"";"EUR";"";"";"true";"1|12.00";"";"";""
"2013";"MKP100000000196352";"0.00";"0.00";"DOM1";"CLC";"12.00";"12.00";"";"10";"This is description of the offer 5600: 
 Nylon/elastane. Underwire bra with soft moulded `cups and adjustable  straps. Fabric gives great stretch, comfort and support  with a soft smooth finish and elastic that won? dig in.";"4";"3";"* Super Shop";"false";"false";"M";"true";"";"US";"false";"12.00";"";"";"";"";"";"EUR";"";"";"false";"1|12.00";"";"";""
"2014";"MKP100000000198329";"0.00";"0.00";"DOM1";"CLC";"12.00";"12.00";"";"10";"This is description of the offer 6000: 
 Polyamide/elastane. Soft underwire cup. Front fastening. Adjustable straps.";"4";"3";"* Super Shop";"false";"false";"M";"true";"";"US";"false";"12.00";"";"";"";"";"";"EUR";"";"";"false";"1|12.00";"";"";""
